32041 31852
19981 612 124
19981 14932 142
17889 23349 15
17889 17914 32
17889 14510 59
17889 17855 63
17889 22543 108
17889 16126 129
17889 18168 130
17889 12840 142
17889 21557 144
19291 19317 33
19291 20065 97
19291 19570 130
19291 12748 140
19291 22959 144
1377 6837 15
1377 1629 27
1377 1403 33
1377 1065 52
1377 18123 114
1377 1656 130
1377 5045 144
10508 15968 15
10508 10760 27
10508 11403 29
10508 29100 34
10508 28519 57
10508 27254 114
10508 25995 126
10508 10787 130
10508 14176 144
11541 8013 123
31189 20191 31
31189 30211 70
24367 3796 8
24367 29882 25
24367 13369 31
24367 30535 38
24367 24380 53
24367 2881 67
24367 23389 70
24367 15547 100
24367 3965 120
24367 20839 123
14267 18921 108
14267 31013 114
25278 14280 31
25278 31388 41
25278 30936 44
25278 3059 50
25278 25291 53
25278 3792 67
25278 12257 93
25278 13659 115
25278 2712 116
25278 4876 120
25278 21750 123
3779 14508 14
3779 29018 17
3779 4674 29
3779 24434 48
3779 30256 60
3779 24899 80
3779 20249 89
12244 22973 14
12244 13139 29
12244 16898 108
12244 7195 142
13646 4826 100
13646 10118 123
4863 15592 14
4863 30102 17
4863 5758 29
4863 30636 40
4863 25518 48
4863 31340 60
4863 25983 80
4863 9517 108
4863 29073 119
21737 10808 84
21737 16688 142
3703 14432 14
3703 28942 17
3703 4598 29
3703 3729 33
3703 21714 57
3703 30180 60
3703 24823 80
3703 203 90
3703 4477 97
3703 8357 108
3703 27913 119
3703 19361 121
3703 3982 130
3703 7371 144
24526 13528 31
24526 30694 38
24526 30184 44
24526 23548 70
24526 1649 88
24526 15706 100
24526 20998 123
24300 24552 27
24300 24326 33
24300 2081 50
24300 24266 63
24300 20800 90
24300 4931 124
24300 24579 130
24300 19251 142
24300 27968 144
2055 27294 17
2055 2950 29
2055 20647 34
2055 22710 48
2055 1743 52
2055 28532 60
2055 28163 62
2055 2834 78
2055 23175 80
2055 18525 89
2055 22703 92
2055 6709 108
23962 2126 2
23962 24214 27
23962 23987 32
23962 20462 90
23962 22199 129
23962 24241 130
23962 18913 142
23962 27630 144
24240 2404 2
24240 3669 8
24240 13242 31
24240 30350 41
24240 23928 52
24240 25019 78
24240 13311 84
24240 11219 93
24240 12621 115
24240 1674 116
24240 4871 124
24240 19191 142
1397 6857 15
1397 26636 17
1397 2292 29
1397 1423 33
1397 19989 34
1397 27874 60
1397 22517 80
1397 17867 89
1397 2171 97
1397 6051 108
1397 1676 130
1397 5065 144
11253 11505 27
11253 12148 29
11253 11278 32
11253 7753 90
11253 12027 97
11253 15907 108
11253 27999 114
11253 26911 121
11253 26740 126
11253 9490 129
11253 11532 130
11253 20456 132
11253 14921 144
12655 23384 14
12655 12907 27
12655 13550 29
12655 18765 41
12655 30666 57
12655 1726 84
12655 9155 90
12655 13429 97
12655 1036 115
12655 28142 126
12655 12934 130
12655 7606 142
12655 16323 144
3872 9332 15
3872 29111 17
3872 4767 29
3872 21883 57
3872 30349 60
3872 24992 80
3872 20342 89
3872 8526 108
3872 20618 114
3872 19359 126
19225 7666 1
19225 29954 14
19225 8227 31
19225 25335 41
19225 20004 78
19225 6204 93
7182 3654 123
16684 5686 31
16684 22794 41
16684 22342 44
16684 12703 47
16684 29313 72
16684 7864 100
16684 21338 108
16684 13156 123
16458 21918 15
16458 13257 26
16458 13079 59
16458 5529 84
16458 12958 90
16458 17232 97
16458 21112 108
16458 14695 129
16458 16737 130
16458 20126 144
16398 16650 27
16398 16424 33
16398 22508 41
16398 16364 63
16398 17177 78
16398 5469 84
16398 12898 90
16398 4779 115
16398 25601 132
16398 11349 142
5503 16232 14
5503 30742 17
5503 6398 29
5503 24095 34
5503 31276 40
5503 31611 62
5503 21973 89
5503 10157 108
5503 21161 121
5503 5782 130
5503 14706 132
5503 9171 144
12932 1373 1
12932 23661 14
12932 13827 29
12932 17586 108
12932 7883 142
17206 27935 14
17206 8386 100
17206 21860 108
21086 16037 142
16711 30052 4
16711 27440 14
16711 5713 31
16711 22879 38
16711 22821 41
16711 17490 78
16711 21365 108
25635 14637 31
25635 25648 53
25635 22107 123
20100 8541 1
20100 9102 31
20100 26210 41
20100 25758 44
20100 7079 93
20100 15051 142
4116 9576 15
4116 5011 29
4116 22708 34
4116 22127 57
4116 30593 60
4116 30224 62
4116 25236 80
4116 616 90
4116 8770 108
4116 20862 114
2468 13197 14
2468 27707 17
2468 3363 29
2468 2494 33
2468 21060 34
2468 20479 57
2468 28945 60
2468 28576 62
2468 2434 63
2468 23588 80
2468 18938 89
2468 3242 97
2468 7122 108
2468 19214 114
2468 18126 121
2468 17955 126
2468 2747 130
2468 11671 132
2468 6136 144
24700 24666 63
3201 28440 17
3201 4096 29
3201 21793 34
3201 21212 57
3201 29678 60
3201 29309 62
3201 24321 80
3201 19671 89
3201 7855 108
3201 12404 132
5318 16047 14
5318 31091 40
5318 5006 52
5318 23329 57
5318 5284 63
5318 9972 108
5318 20805 126
19638 19651 53
19638 6617 93
19638 8019 115
19638 269 124
19638 13095 140
19638 14589 142
26974 5138 2
26974 27226 27
26974 27000 33
26974 26662 52
26974 26940 63
26974 27748 97
19148 24608 15
19148 28351 132
19148 14099 142
2635 13364 14
2635 2887 27
2635 3530 29
2635 21227 34
2635 2323 52
2635 20646 57
2635 28743 62
2635 2601 63
2635 23755 80
2635 19105 89
2635 7289 108
2635 19381 114
2635 26845 119
2635 2914 130
9652 10547 29
9652 9677 32
9652 28244 34
9652 26122 89
9652 10426 97
9652 14306 108
9652 25310 121
9652 7889 129
26262 4043 50
26262 4776 67
26262 13241 93
26262 14643 115
26262 5860 120
26262 6893 124
26262 19719 140
26262 21213 142
4813 10273 15
4813 30586 40
4813 20300 126
10105 23446 4
10105 11000 29
10105 28697 34
10105 9793 52
10105 10884 78
10105 30753 92
10105 14759 108
10105 6577 123
10165 10417 27
10165 11060 29
10165 10191 33
10165 28757 34
10165 10939 97
10165 10444 130
10165 5116 142
10165 13833 144
10795 11574 78
8703 9598 29
8703 8729 33
8703 27295 34
8703 8391 52
8703 8669 63
8703 9482 78
8703 5203 90
8703 13357 108
2355 15696 4
2355 13084 14
2355 3250 29
2355 14984 72
2355 7009 108
16675 30016 4
16675 22190 25
16675 5677 31
16675 22843 38
16675 12694 47
16675 15697 70
16675 5056 115
16675 13147 123
3716 3968 27
3716 29489 40
3716 216 90
3716 4490 97
3716 19374 121
3716 3995 130
24313 3742 8
24313 24565 27
24313 24339 33
24313 30423 41
24313 2094 50
24313 24279 63
24313 20813 90
24313 25087 97
24313 1747 116
24313 4944 124
24313 24592 130
24313 19264 142
24313 27981 144
2068 27841 40
2068 1756 52
2068 2034 63
2068 2847 78
23975 2139 2
23975 24000 32
23975 20475 90
23975 24749 97
23975 22212 129
23975 18926 142
23975 27643 144
24253 30363 41
24253 23941 52
24253 25032 78
24253 12634 115
24253 19204 142
20787 9228 1
20787 26897 41
20787 7766 93
20787 9168 115
11266 16726 15
11266 8065 26
11266 11518 27
11266 12161 29
11266 11291 32
11266 29858 34
11266 29277 57
11266 7887 59
11266 12040 97
11266 15920 108
11266 26924 121
11266 26753 126
11266 9503 129
11266 11545 130
11266 20469 132
25061 14063 31
25061 31229 38
25061 24083 70
25061 2184 88
25061 16241 100
25061 24496 101
25061 13442 115
25061 21533 123
12668 12920 27
12668 18778 41
12668 12947 130
12668 21871 132
12668 7619 142
12668 16336 144
1721 12450 14
1721 26960 17
1721 20313 34
1721 1409 52
1721 28198 60
1721 27829 62
1721 1687 63
1721 2500 78
1721 22841 80
1721 18191 89
1721 6375 108
1721 10924 132
3885 20631 114
24566 2730 2
24566 2347 50
24566 3080 67
24566 2000 116
24566 5197 124
19238 20017 78
27955 16396 1
2113 27352 17
2113 3008 29
2113 20705 34
2113 20124 57
2113 28590 60
2113 28221 62
2113 2079 63
2113 23233 80
2113 18583 89
2113 6767 108
2113 2392 130
2113 11316 132
2113 5781 144
3378 3344 63
24201 30369 38
24201 30311 41
24201 20220 47
24201 23223 70
24201 12582 115
24201 20673 123
1730 12459 14
1730 2625 29
1730 20322 34
1730 1418 52
1730 28207 60
1730 27838 62
1730 1696 63
1730 22850 80
1730 18200 89
1730 6384 108
1730 17388 121
1730 10933 132
23915 24167 27
23915 23603 52
4580 29819 17
4580 5475 29
4580 23172 34
4580 30353 40
4580 31057 60
4580 30688 62
4580 5359 78
4580 25700 80
4580 21050 89
4580 25228 92
4580 9234 108
4580 20067 126
24228 23250 70
24228 25007 78
24228 1351 88
24228 20700 123
18900 29629 14
18900 25010 41
18900 7971 84
18900 15400 90
18900 23554 108
18900 7281 115
18900 12357 140
27617 16058 1
27617 7046 8
27617 5398 50
27617 6131 67
27617 14596 93
27617 15998 115
27617 8248 124
2391 15732 4
2391 3286 29
2391 20983 34
2391 28499 62
2391 3170 78
2391 18861 89
2391 7045 108
2391 26601 119
3656 14385 14
3656 28895 17
3656 4551 29
3656 3682 33
3656 29429 40
3656 24311 48
3656 21667 57
3656 30133 60
3656 29764 62
3656 4435 78
3656 24776 80
3656 8310 108
3656 27866 119
13229 10028 26
13229 13254 32
13229 9850 59
13229 2300 84
13229 9729 90
13229 22432 132
13229 16897 144
30337 8118 50
30337 8851 67
30337 17316 93
30337 18718 115
30337 804 117
30337 26809 123
30337 10968 124
30337 25288 142
2008 12737 14
2008 2903 29
2008 20600 34
2008 27781 40
2008 28485 60
2008 28116 62
2008 1030 70
2008 23128 80
2008 18478 89
2008 6662 108
2008 26218 119
23249 2678 8
23249 28709 15
23249 23262 53
23249 23215 63
23249 683 116
23249 16706 140
25006 2787 50
25006 24972 63
25006 3520 67
25006 14077 84
25006 25780 97
25006 2440 116
25006 4604 120
25006 25285 130
25006 18463 140
25006 19957 142
25006 28674 144
1350 26589 17
1350 2245 29
1350 1376 33
1350 1038 52
1350 27827 60
1350 27458 62
1350 22470 80
1350 17820 89
1350 6004 108
1350 25560 119
1350 17008 121
12608 23337 14
12608 13503 29
12608 12296 52
12608 30619 57
12608 13387 78
12608 1679 84
12608 17262 108
1661 12390 14
1661 2556 29
1661 27434 40
1661 7319 44
1661 14290 72
1661 6315 108
20699 20725 33
20699 9770 84
20699 29902 132
4858 15587 14
4858 30097 17
4858 5753 29
4858 30631 40
4858 25513 48
4858 31335 60
4858 25978 80
4858 21328 89
4858 25506 92
4858 9512 108
4858 29068 119
19178 29907 14
19178 25346 38
19178 24836 44
19178 15197 47
19178 31807 72
19178 6157 93
19178 18613 101
19178 15650 123
1773 7233 15
1773 2025 27
1773 1798 32
1773 27546 40
1773 1739 63
1773 2547 97
1773 17431 121
1773 2052 130
1773 10976 132
1773 5441 144
24061 12502 1
24061 2225 2
24061 3490 8
24061 30171 41
24061 1842 50
24061 23749 52
24061 24074 53
24061 24840 78
24061 12442 115
24061 19012 142
14227 2668 1
14227 24956 14
14227 20337 41
14227 18881 108
14227 9178 142
19442 24902 15
19442 19455 53
19442 6421 93
19442 73 124
19442 12899 140
19442 14393 142
17986 6427 1
17986 28715 14
17986 18012 33
17986 17674 52
17986 17999 53
17986 22640 108
1713 22368 48
1713 1401 52
1713 19724 57
1713 2492 78
1713 18459 114
26623 6052 8
26623 26875 27
26623 4404 50
26623 26311 52
26623 5137 67
26623 13602 93
26623 27397 97
26623 6221 120
1636 14977 4
1636 12365 14
1636 7151 25
1636 2531 29
1636 27409 40
1636 7294 44
1636 14265 72
1636 22756 80
1636 18106 89
1636 25846 119
2279 7739 15
2279 3174 29
2279 2305 33
2279 20871 34
2279 1967 52
2279 28756 60
2279 28387 62
2279 6933 108
2279 26489 119
2279 17766 126
2279 2558 130
2279 11482 132
2279 5947 144
1410 6870 15
1410 1435 32
1410 27183 40
1410 19421 57
1410 6064 108
1410 18156 114
1410 17068 121
1410 1689 130
1410 5078 144
19976 30705 14
19976 25436 15
19976 20228 27
19976 20002 33
19976 19664 52
19976 20755 78
19976 16476 90
19976 6955 93
19976 607 124
19976 14927 142
1072 6532 15
1072 19083 57
1072 5726 108
1072 17818 114
27861 27887 33
27861 27549 52
27861 4984 88
27861 16242 115
27861 28140 130
27861 22812 142
27861 31529 144
27492 6921 8
27492 5273 50
27492 27180 52
27492 6006 67
27492 28271 78
27492 16563 84
27492 14471 93
27492 15873 115
27492 7090 120
27492 20949 140
27492 22443 142
22504 28614 41
22504 285 50
22504 9483 93
22504 10885 115
22504 3135 124
22504 15961 140
22504 17455 142
17854 28583 14
17854 17880 33
17854 23964 41
17854 6925 84
17854 14354 90
17854 18628 97
17854 18133 130
17854 27057 132
17854 12805 142
2158 15499 4
2158 1180 70
2158 14787 72
2158 1593 101
2158 6812 108
6038 24630 34
6038 2538 90
6038 10692 108
6038 21696 121
6038 21525 126
6038 6317 130
6038 15241 132
6038 9706 144
18130 28859 14
18130 18143 53
18130 22784 108
18130 13081 142
1663 15004 4
1663 12392 14
1663 26902 17
1663 7321 44
1663 27771 62
1663 22783 80
1663 25873 119
5052 23644 34
5052 10710 44
5052 25707 48
5052 17681 72
5052 1524 123
29941 18382 1
29941 8105 2
29941 9370 8
29941 7722 50
29941 2016 61
29941 8455 67
29941 16920 93
29941 18322 115
29941 408 117
29941 9539 120
29941 10572 124
8214 8180 63
8214 24960 114
8214 17417 132
18234 23694 15
18234 7305 84
18234 22888 108
18234 13185 142
31841 11270 8
31841 9622 50
31841 31854 53
31841 3916 61
31841 2308 117
31841 12472 124
19991 30720 14
19991 25451 15
19991 20243 27
19991 19679 52
19991 6970 93
19991 20765 97
19991 8372 115
19991 622 124
19991 20270 130
15684 21144 15
15684 15936 27
15684 12184 90
15684 20338 108
15684 24887 132
15684 10635 142
21163 27331 38
21163 26821 44
21163 20185 70
21163 12343 100
12203 584 115
16477 29818 4
16477 21992 25
16477 5479 31
16477 22645 38
16477 12496 47
16477 29106 72
16477 7657 100
31361 10790 8
31361 31374 53
31361 19742 115
15982 4423 1
15982 29323 4
15982 26711 14
15982 22092 41
15982 28611 72
15982 20636 108
15982 12454 123
24906 31074 38
24906 31016 41
24906 2687 50
24906 13287 115
24906 2340 116
24906 4504 120
19371 7812 1
19371 30100 14
19371 25481 41
19371 19384 53
26432 4213 50
26432 26445 53
26432 3555 88
26432 13411 93
26432 14813 115
26432 3866 116
26432 7063 124
26432 21383 142
18606 24066 15
18606 23260 108
18606 27809 132
18606 13557 142
2093 2345 27
2093 2119 33
2093 1781 52
2093 2059 63
2093 6747 108
2093 2372 130
19201 7642 1
19201 24859 44
19201 18223 70
19201 6180 93
19201 7582 115
19201 14152 142
18749 24209 15
18749 19001 27
18749 18775 33
18749 15249 90
18749 19523 97
18749 23403 108
18749 27952 132
18749 22417 144
9110 14570 15
9110 27702 34
9110 25580 89
9110 13764 108
9110 4061 142
12113 17573 15
12113 16767 108
12113 27600 126
25720 25972 27
25720 31830 41
25720 3501 50
25720 25686 63
25720 4234 67
25720 14791 84
25720 12699 93
25720 26494 97
25720 14101 115
25720 6351 124
25720 25999 130
25720 19177 140
25720 20671 142
4271 9731 15
4271 4237 63
12526 30537 57
12526 17180 108
12526 29272 114
12526 21729 132
12526 5983 140
17745 28474 14
17745 23855 41
17745 17758 53
17745 30374 72
17745 8925 100
17745 22399 108
17745 14217 123
1472 20064 34
1472 22592 80
1472 17942 89
1472 25682 119
9563 9589 33
9563 28155 34
9563 15731 38
9563 9251 52
9563 27574 57
9563 22192 72
9563 26033 89
9563 6035 123
16042 26771 14
16042 16294 27
16042 16068 33
16042 22152 41
16042 16008 63
16042 12542 90
16042 20696 108
16042 25245 132
16042 10993 142
5382 18723 4
5382 16111 14
5382 10897 25
5382 11550 38
5382 31155 40
5382 11040 44
5382 4817 101
5382 10036 108
5382 1854 123
27614 16055 1
27614 7043 8
27614 5395 50
27614 27627 53
27614 6128 67
27614 14593 93
27614 15995 115
27614 7212 120
6115 19456 4
6115 11630 25
6115 12283 38
6115 11773 44
6115 18744 72
14580 14606 33
14580 14268 52
14580 15359 78
14580 3651 84
14580 19234 108
14580 11052 123
7199 20540 4
7199 17928 14
7199 8094 29
7199 23669 89
7199 3671 123
28496 16937 1
28496 7925 8
28496 17498 31
28496 24515 47
28496 6277 50
28496 28509 53
28496 7010 67
28496 15475 93
28496 19676 100
28496 16877 115
4152 29391 17
4152 5047 29
4152 22744 34
4152 29925 40
4152 24807 48
4152 30629 60
4152 25272 80
4152 20622 89
4152 8806 108
4152 28362 119
21849 27364 25
21849 10851 31
21849 28017 38
21849 27507 44
21849 17868 47
21849 13029 100
29030 18032 31
29030 28052 70
23912 23938 33
23912 30022 41
23912 1693 50
23912 23600 52
23912 23925 53
23912 23878 63
23912 24691 78
23912 10891 93
23912 12293 115
23912 4543 124
29734 29747 53
29734 1809 61
29734 16713 93
29734 20914 100
29734 18115 115
29734 201 117
29734 26206 123
29365 18367 31
29365 25384 47
29365 28800 101
29365 25837 123
24377 13379 31
24377 30035 44
24377 1500 88
24377 12758 115
19727 19740 53
19727 8108 115
23905 12346 1
23905 23931 33
23905 30015 41
23905 23593 52
23905 23918 53
23905 23871 63
23905 24684 78
23905 12286 115
23905 1339 116
23905 18856 142
7911 21252 4
7911 14079 38
7911 28566 48
7911 24381 89
7911 28559 92
7911 12565 108
7911 4383 123
27467 5631 2
27467 27493 33
27467 27155 52
27467 28246 78
27467 16538 84
27064 5228 2
27064 6493 8
27064 23083 47
27064 4845 50
27064 27077 53
27064 5578 67
27064 4187 88
27064 14043 93
27064 18244 100
27064 4498 116
27064 23536 123
9335 29990 48
9335 25805 89
9335 29983 92
13480 14375 29
13480 18134 108
13480 9952 123
8272 9167 29
8272 28927 48
8272 24742 89
8272 28920 92
8272 12926 108
8915 9810 29
8915 8941 33
8915 26926 57
8915 25385 89
8915 5415 90
8915 9689 97
8915 9194 130
26612 6041 8
26612 26638 33
26612 4393 50
26612 26300 52
26612 26625 53
26612 26578 63
26612 13591 93
26612 4046 116
26612 6210 120
26612 7243 124
24490 2654 2
24490 3919 8
24490 24516 33
24490 2271 50
24490 24503 53
24490 3004 67
24490 13561 84
24490 25264 97
24490 4088 120
24490 5121 124
24490 24769 130
24490 17947 140
24490 19441 142
24490 28158 144
8794 22135 4
8794 14309 25
8794 14962 38
8794 14452 44
8794 7816 70
8794 21423 72
8794 13448 108
8794 5266 123
12674 18784 41
12674 29420 114
12674 28161 126
12674 12953 130
12674 21877 132
12674 7625 142
12674 16342 144
24766 4195 8
24766 13768 31
24766 30934 38
24766 24779 53
24766 3280 67
24766 11745 93
24766 2200 116
24766 4364 120
24766 5397 124
24766 19717 142
23678 29846 38
23678 22700 70
23678 801 88
8299 28954 48
17223 5604 115
11688 25029 4
11688 17856 38
11688 17798 41
11688 17346 44
11688 24317 72
11688 69 115
11688 8160 123
28477 16918 1
28477 7906 8
28477 17479 31
28477 28490 53
28477 27499 70
28477 5600 88
28477 15456 93
28477 19657 100
28477 8075 120
28477 24949 123
23043 28503 15
23043 23069 33
23043 824 50
23043 22731 52
23043 23056 53
23043 23009 63
23043 10022 93
23043 23817 97
23043 477 116
23043 3674 124
23043 23322 130
29127 6908 50
29127 29140 53
29127 7641 67
29127 8725 120
29127 9758 124
29127 29406 130
29127 24078 142
798 14139 4
798 486 52
798 1577 78
23030 23282 27
23030 22718 52
23030 22996 63
23030 153 88
23030 10009 93
23030 3661 124
23030 23309 130
23030 26698 144
22983 29151 38
22983 22671 52
22983 23762 78
22983 106 88
23796 1960 2
23796 20595 26
23796 12867 84
23796 22033 129
23796 24075 130
23796 17253 140
23796 18747 142
23796 27464 144
12088 22817 14
12088 12983 29
12088 16742 108
12088 27575 126
9996 9962 63
9996 25654 121
9996 10275 130
9996 19199 132
9996 13664 144
451 5911 15
451 139 52
451 1230 78
3648 14377 14
3648 28887 17
3648 24303 48
3648 3336 52
3648 30125 60
3648 29756 62
3648 16277 72
3648 4427 78
3648 20118 89
3648 8302 108
3648 27858 119
17280 28009 14
17280 22740 15
17280 17246 63
17280 21934 108
17841 18093 27
17841 23951 41
17841 17529 52
17841 17807 63
17841 14341 90
17841 22495 108
17841 6222 115
17841 18120 130
28852 24871 47
28852 5975 88
28852 20032 100
28852 25324 123
914 14255 4
15818 26547 14
15818 15506 52
15818 16597 78
15818 4889 84
15818 20472 108
20019 20271 27
20019 20045 33
20019 26129 41
20019 19985 63
20019 16519 90
20019 20793 97
20019 650 124
20019 20298 130
20019 14970 142
20019 23687 144
28274 6438 2
28274 28526 27
28274 28240 63
28274 6788 67
28274 7872 120
28274 8905 124
28274 28553 130
28274 31942 144
17220 27949 14
17220 21874 108
8437 19166 14
8437 29085 92
25311 4740 8
25311 14313 31
25311 24999 52
25311 26090 78
25311 14382 84
25311 2745 116
25311 21783 123
25311 5942 124
25311 20262 142
17472 22932 15
17472 23582 41
17472 17160 52
17472 17485 53
17472 18251 78
17472 6543 84
17472 5853 115
17472 12423 142
24489 2653 2
24489 24741 27
24489 13560 84
24489 17946 140
24489 19440 142
19650 30379 14
19650 25110 15
19650 25760 41
19650 13107 140
27905 6069 2
27905 7334 8
27905 24704 26
27905 27930 32
27905 27918 53
27905 6419 67
27905 16976 84
27905 7503 120
27905 8536 124
27905 26142 129
27905 22856 142
27905 31573 144
24942 31052 41
24942 25721 78
24942 14013 84
24942 2065 88
24942 19893 142
20451 8892 1
20451 19473 70
15243 3684 1
15243 28584 4
15243 20758 25
15243 4245 31
15243 21411 38
15243 21353 41
15243 11262 47
15243 27872 72
15243 6423 100
15243 3624 115
15017 15269 27
15017 14983 63
15017 31763 114
15017 15296 130
15017 9968 142
15017 18685 144
14957 14645 52
14957 14923 63
14957 15736 78
14957 4028 84
14957 30444 126
11491 22220 14
11491 12386 29
11491 493 31
11491 17659 38
11491 17149 44
11491 7510 47
11491 10513 70
11491 24120 72
11491 16145 108
15765 21933 38
15765 21875 41
15765 28394 72
15765 20419 108
31737 9901 2
31737 9518 50
31737 31750 53
31737 18716 93
31737 12368 124
30478 9907 8
30478 8259 50
30478 30491 53
30478 2553 61
30478 10076 120
30478 11109 124
24194 13196 31
24194 30362 38
24194 29852 44
24194 20213 47
24194 1317 88
24194 20666 123
11863 17973 41
11863 17521 44
11863 24492 72
11863 16517 108
11863 244 115
7273 7525 27
7273 8168 29
7273 23743 89
7273 3773 90
7273 11927 108
7273 31483 119
7273 22931 121
7273 22760 126
29561 18002 1
29561 8990 8
29561 18563 31
29561 7342 50
29561 29574 53
29561 16540 93
29561 20741 100
29561 28 117
29561 9159 120
18845 7286 1
18845 18858 53
18845 5824 93
18845 13796 142
31461 10890 8
31461 9242 50
31461 31474 53
31461 11059 120
31461 12092 124
31461 26412 142
5811 31050 17
5811 6706 29
5811 5837 33
5811 24403 34
5811 5499 52
5811 31919 62
5811 6590 78
5811 26931 80
5811 22281 89
5811 10465 108
5811 22557 114
23486 2915 8
23486 11867 115
23486 920 116
20357 20609 27
20357 21131 97
20357 13814 140
20357 15308 142
20357 24025 144
13184 23913 14
13184 18644 15
13184 13210 33
13184 19294 41
13184 12872 52
13184 31195 57
13184 2255 84
13184 17838 108
13184 28842 121
13184 28671 126
13184 13463 130
13184 22387 132
13184 16852 144
3035 8495 15
3035 3287 27
3035 3930 29
3035 3060 32
3035 21627 34
3035 21046 57
3035 24155 80
3035 19505 89
3035 3809 97
3035 7689 108
3035 18522 126
3035 3314 130
3035 12238 132
3035 6703 144
27671 5452 50
27671 27684 53
27671 27637 63
27671 14650 93
27671 7269 120
27671 21128 140
27671 22622 142
27664 16105 1
27664 5445 50
27664 27677 53
27664 6178 67
27664 16045 115
27664 7262 120
27664 22615 142
11670 30262 34
11670 16324 108
11670 51 115
31226 27698 123
31226 26177 142
3488 4267 78
3488 20234 114
4736 21482 114
23044 23296 27
23044 23070 33
23044 22732 52
23044 23010 63
23044 12115 84
23044 19544 90
23044 23818 97
23044 23323 130
23044 26712 144
11949 22678 14
11949 11975 33
11949 29960 57
11949 8449 90
11949 12723 97
11949 16603 108
11949 21152 132
11949 5406 140
29057 29836 78
29057 17438 115
29057 24008 142
28605 8034 8
28605 28631 33
28605 6386 50
28605 28618 53
28605 28571 63
28605 7119 67
28605 9236 124
28605 28884 130
18966 23620 108
728 14069 4
728 11457 14
728 6243 25
728 1623 29
728 26501 40
728 21376 92
22960 11401 1
22960 1124 2
22960 11962 31
22960 29070 41
22960 741 50
22960 83 88
22960 9939 93
22960 14140 100
22960 11341 115
22960 394 116
22960 19432 123
22960 3591 124
22960 17911 142
70 25843 40
9926 23267 4
9926 20655 14
9926 10821 29
9926 28518 34
9926 30581 48
9926 9614 52
14127 14379 27
14127 15022 29
14127 3198 84
14127 14901 97
14127 18781 108
14127 29614 126
14127 12364 129
14127 14406 130
14127 9078 142
14127 17795 144
11328 22057 14
11328 12223 29
11328 6279 142
381 13722 4
381 25620 17
381 1276 29
381 26154 40
381 6039 44
381 31527 58
381 26858 60
381 13010 72
381 21501 80
381 16851 89
381 21029 92
381 5035 108
381 24591 119
19419 30148 14
19419 14370 142
14008 24737 14
14008 14903 29
14008 3010 31
14008 20176 38
14008 19666 44
14008 13030 70
14008 26637 72
14008 5188 100
14008 18662 108
14008 10480 123
2115 27354 17
2115 27888 40
2115 28592 60
2115 28223 62
2115 23235 80
2115 18585 89
2115 6769 108
2115 17773 121
2115 2394 130
2115 11318 132
19281 19533 27
19281 19307 33
19281 25391 41
19281 18969 52
19281 8352 84
19281 6260 93
19281 20055 97
19281 19560 130
18771 24231 15
18771 19023 27
18771 7842 84
18771 23425 108
18771 19050 130
18771 27974 132
18771 22439 144
4293 29532 17
4293 30770 60
4293 30401 62
4293 25413 80
4293 20763 89
4293 8947 108
17767 16789 70
17767 22421 108
17767 14239 123
9585 20314 14
9585 15045 15
9585 9611 33
9585 28177 34
9585 9273 52
9585 9551 63
9585 10364 78
9585 26055 89
9585 25072 126
16697 30038 4
16697 5699 31
16697 22865 38
16697 22807 41
16697 22355 44
16697 15719 70
16697 13169 123
16411 27140 14
16411 16663 27
16411 16437 33
16411 22521 41
16411 16099 52
16411 5482 84
16411 12911 90
16411 21065 108
16411 4792 115
16411 16690 130
16411 25614 132
16411 20079 144
14682 28023 4
14682 20197 25
14682 20340 44
14682 13704 70
14682 27311 72
14682 19336 108
14682 11154 123
16724 30065 4
16724 27453 14
16724 16750 33
16724 17503 78
20113 26281 38
20113 20892 78
20113 9184 84
20113 7092 93
20113 8494 115
20113 16585 123
20113 744 124
20113 15064 142
693 718 32
693 5347 108
693 972 130
693 4361 144
11600 12495 29
11600 11626 33
11600 30192 34
11600 29611 57
11600 11566 63
11600 8100 90
11600 12374 97
11600 16254 108
11600 27258 121
11600 27087 126
16073 16039 63
16073 12573 90
16073 16847 97
16073 31731 121
16073 16352 130
16073 9530 140
16073 11024 142
20761 1392 124
20761 29964 132
20761 14218 140
20761 15712 142
9564 22905 4
9564 9590 33
9564 9252 52
9564 10343 78
9564 6036 123
9564 4515 142
16351 29692 4
16351 5353 31
16351 15373 70
16351 17130 78
16351 21005 108
16351 4732 115
16351 12823 123
16351 11302 142
17164 13963 26
17164 17416 27
17164 6235 84
17164 17938 97
17164 15401 129
17164 17443 130
17164 20832 144
16219 21679 15
16219 16471 27
16219 16245 33
16219 22329 41
16219 16185 63
16219 16998 78
16219 12719 90
16219 4600 115
16219 31877 121
16219 31706 126
16219 25422 132
16219 9676 140
16219 11170 142
30729 10158 8
30729 30755 33
30729 8510 50
30729 30695 63
30729 9243 67
30729 19800 84
30729 17708 93
30729 19110 115
30729 1196 117
30729 10327 120
30729 31008 130
30729 24186 140
30729 25680 142
5742 11910 38
5742 11400 44
5742 1761 47
5742 5177 101
6385 17114 14
6385 31624 17
6385 6637 27
6385 7280 29
6385 6411 33
6385 6073 52
6385 24396 57
6385 22855 89
6385 30595 119
6385 22043 121
6385 21872 126
6385 6664 130
6385 10053 144
5516 5768 27
5516 5542 33
5516 24108 34
